,product_id.1,meta_text,price
0,1307377,computers notebook lenovo medium,432.42
1,1307299,computers notebook dell medium,858.71
2,1305140,computers notebook acer medium,386.08
3,1306722,computers notebook lenovo high,1132.33
4,1306406,computers notebook xiaomi medium,849.19
5,1307293,computers notebook msi medium,864.5
6,1306186,computers notebook acer low,360.11
7,1307303,computers notebook lenovo low,360.11
8,1307429,computers notebook asus medium,483.67
9,1307161,computers notebook hp medium,636.99
