,product_id.1,meta_text,price
0,1004873,electronics smartphone samsung medium,388.81
1,1003713,electronics smartphone samsung high,767.07
2,1004856,electronics smartphone samsung low,130.76
3,1005229,electronics smartphone honor medium,283.12
4,1005042,electronics smartphone huawei medium,406.7
5,1004121,electronics smartphone meizu low,151.87
6,1002484,electronics smartphone meizu medium,179.79
7,1005244,electronics smartphone vivo medium,463.31
8,1002633,electronics smartphone apple medium,360.08
9,1003777,electronics smartphone nokia medium,218.77
