,product_id.1,meta_text,price
0,2702277,appliances kitchen refrigerators lg medium,465.7
1,2800605,appliances kitchen refrigerators indesit medium,295.79
2,2800478,appliances kitchen refrigerators kristal medium,298.33
3,46800004,appliances kitchen refrigerators ezetil medium,257.38
4,2700452,appliances kitchen refrigerators atlant medium,265.49
5,2700966,appliances kitchen refrigerators pozis medium,382.51
6,2800642,appliances kitchen refrigerators vasin medium,404.1
7,2702255,appliances kitchen refrigerators cavanova medium,505.92
8,2701518,appliances kitchen refrigerators artel medium,452.78
9,2800530,appliances kitchen refrigerators leadbros medium,294.73
