,product_id.1,meta_text,price
0,1307067,computers notebook lenovo low,251.74
1,45500021,computers notebook trust low,22.39
2,1307385,computers notebook dell low,337.18
3,1306156,computers notebook prestigio medium,460.08
4,1306085,computers notebook acer low,284.18
5,45500008,computers notebook crown low,30.38
6,1306686,computers notebook prestigio low,257.15
7,1306220,computers notebook haier low,244.51
8,45500013,computers notebook deepcool low,10.01
9,1306228,computers notebook ilife low,254.55
