,product_id.1,meta_text,price
0,1004856,electronics smartphone samsung low,130.76
1,1003911,electronics smartphone samsung medium,179.88
2,1004830,electronics smartphone gionee low,74.39
3,1004468,electronics smartphone doogee low,71.39
4,1004570,electronics smartphone bq low,102.94
5,1005273,electronics smartphone huawei low,154.16
6,1004963,electronics smartphone nokia low,141.29
7,1004596,electronics smartphone tp-link low,167.06
8,1004491,electronics smartphone jinga low,74.62
9,1002923,electronics smartphone huawei medium,239.9
