,product_id.1,meta_text,price
0,1004870,electronics smartphone samsung medium,286.86
1,1004265,electronics smartphone doogee medium,383.52
2,1003713,electronics smartphone samsung high,767.07
3,1005004,electronics smartphone huawei medium,257.36
4,1005236,electronics smartphone oppo medium,257.12
5,1004784,electronics smartphone meizu medium,179.93
6,1002827,electronics smartphone leeco medium,375.55
7,1005229,electronics smartphone honor medium,283.12
8,1002536,electronics smartphone apple medium,581.48
9,1005275,electronics smartphone google medium,540.3
