,product_id.1,meta_text,price
0,1005105,electronics smartphone apple high,1415.48
1,1004947,electronics smartphone oneplus high,844.29
2,1004536,electronics smartphone huawei high,796.64
3,1004909,electronics smartphone sony high,1026.41
4,1004965,electronics smartphone oppo high,952.37
5,1005213,electronics smartphone honor high,849.42
6,1005258,electronics smartphone umi high,772.19
7,1004477,electronics smartphone google high,900.67
8,1003899,electronics smartphone oneplus medium,642.46
9,1201576,electronics tablet apple high,759.32
