,product_id.1,meta_text,price
0,1004708,electronics smartphone huawei low,159.77
1,1004625,electronics smartphone fly low,43.73
2,1004844,electronics smartphone prestigio low,87.49
3,1003969,electronics smartphone meizu low,97.56
4,1004935,electronics smartphone vivo low,167.03
5,1004180,electronics smartphone motorola low,101.15
6,1004579,electronics smartphone irbis low,94.73
7,1005096,electronics smartphone tp-link low,136.17
8,1004553,electronics smartphone inoi low,77.2
9,1004445,electronics smartphone bq low,45.67
