,product_id.1,meta_text,price
0,1307237,computers notebook lenovo low,257.38
1,1306798,computers notebook acer low,332.05
2,1307384,computers notebook dell low,355.19
3,45500010,computers notebook deepcool low,14.65
4,45500007,computers notebook crown low,25.25
5,1306686,computers notebook prestigio low,257.15
6,1306228,computers notebook ilife low,254.55
7,1306221,computers notebook haier low,324.31
8,45500022,computers notebook trust low,17.99
9,1306156,computers notebook prestigio medium,460.08
