,product_id.1,meta_text,price
0,1004833,electronics smartphone samsung low,174.76
1,1005210,electronics smartphone jinga low,59.18
2,1003911,electronics smartphone samsung medium,179.88
3,1002497,electronics smartphone huawei low,95.17
4,1003807,electronics smartphone irbis low,65.89
5,1004277,electronics smartphone bq low,42.45
6,1005227,electronics smartphone inoi low,114.26
7,1004036,electronics smartphone nokia low,166.02
8,1003143,electronics smartphone gionee low,123.56
9,1004719,electronics smartphone haier low,77.2
