,product_id.1,meta_text,price
0,1002544,electronics smartphone apple medium,464.13
1,1004901,electronics smartphone oppo medium,592.01
2,1003774,electronics smartphone nokia medium,370.2
3,1004843,electronics smartphone meizu medium,231.41
4,1004828,electronics smartphone oneplus medium,591.78
5,1004727,electronics smartphone sony medium,179.88
6,1003771,electronics smartphone huawei medium,231.38
7,1005202,electronics smartphone honor medium,231.64
8,1003991,electronics smartphone lg medium,216.2
9,1004796,electronics smartphone xiaomi medium,244.25
