,product_id.1,meta_text,price
0,1004781,electronics smartphone huawei medium,278.31
1,1004817,electronics smartphone honor medium,499.11
2,1005190,electronics smartphone vivo medium,205.9
3,1005261,electronics smartphone oppo medium,463.05
4,1005166,electronics smartphone xiaomi medium,321.5
5,1003747,electronics smartphone sony medium,282.81
6,1002542,electronics smartphone apple medium,475.95
7,1004845,electronics smartphone meizu medium,257.15
8,1005038,electronics smartphone google medium,579.17
9,1003898,electronics smartphone oneplus medium,540.3
