,product_id.1,meta_text,price
0,4804056,electronics audio headphone apple high,161.98
1,4803194,electronics audio headphone sony high,187.88
2,4800135,electronics audio headphone sennheiser high,385.85
3,4803097,electronics audio headphone jbl high,180.16
4,4803890,electronics audio headphone yamaha high,177.61
5,4803876,electronics audio headphone shure high,245.57
6,4803815,electronics audio headphone beats high,229.07
7,4803629,electronics audio headphone logitech medium,150.7
8,4802474,electronics audio headphone plantronics high,304.23
9,4803854,electronics audio headphone steelseries high,463.07
