,product_id.1,meta_text,price
0,3601244,appliances kitchen washer lg medium,339.75
1,3600661,appliances kitchen washer samsung medium,295.49
2,3601592,appliances kitchen washer candy medium,378.88
3,3601406,appliances kitchen washer beko medium,213.33
4,3601290,appliances kitchen washer indesit medium,290.31
5,3601603,appliances kitchen washer lg high,525.43
6,3600700,appliances kitchen washer hotpoint-ariston medium,307.58
7,3600754,appliances kitchen washer atlant medium,231.92
8,3601157,appliances kitchen washer midea medium,294.47
9,3601348,appliances kitchen washer hansa medium,360.34
