,product_id.1,meta_text,price
0,1004249,electronics smartphone apple high,739.81
1,1004481,electronics smartphone google high,874.93
2,1005260,electronics smartphone oppo high,772.19
3,1004912,electronics smartphone sony high,1029.34
4,1005213,electronics smartphone honor high,849.42
5,1004652,electronics smartphone huawei high,771.96
6,1004947,electronics smartphone oneplus high,844.29
7,1005258,electronics smartphone umi high,772.19
8,1201574,electronics tablet apple high,759.32
9,1003899,electronics smartphone oneplus medium,642.46
