,product_id.1,meta_text,price
0,3601437,appliances kitchen washer lg medium,380.85
1,3600474,appliances kitchen washer whirlpool medium,347.45
2,3601592,appliances kitchen washer candy medium,378.88
3,3601490,appliances kitchen washer candy high,394.23
4,3601517,appliances kitchen washer gorenje medium,342.33
5,3601509,appliances kitchen washer hansa medium,283.07
6,3601264,appliances kitchen washer indesit medium,324.08
7,3601496,appliances kitchen washer beko medium,308.6
8,4600384,appliances kitchen dishwasher whirlpool medium,463.33
9,3600025,appliances kitchen washer indesit low,202.76
