,product_id.1,meta_text,price
0,1802037,electronics video tv lg medium,303.45
1,1801852,electronics video tv tcl medium,385.05
2,1801366,electronics video tv haier medium,489.05
3,1801883,electronics video tv philips medium,257.38
4,1802002,electronics video tv ergo medium,360.09
5,1801035,electronics video tv sony medium,381.71
6,1802055,electronics video tv rebus medium,337.28
7,1801835,electronics video tv artel medium,365.52
8,1802083,electronics video tv dauscher medium,321.73
9,1802028,electronics video tv harper medium,282.37
