,product_id.1,meta_text,price
0,1005115,electronics smartphone apple high,975.57
1,1004849,electronics smartphone huawei high,962.03
2,1004949,electronics smartphone oneplus high,838.89
3,1005213,electronics smartphone honor high,849.42
4,1004465,electronics smartphone google high,797.7
5,1005258,electronics smartphone umi high,772.19
6,1005271,electronics smartphone sony high,952.15
7,1004385,electronics smartphone oppo high,776.08
8,1003899,electronics smartphone oneplus medium,642.46
9,1005176,electronics smartphone samsung high,900.64
