,product_id.1,meta_text,price
0,1004565,electronics smartphone huawei low,177.47
1,1004180,electronics smartphone motorola low,101.15
2,1002923,electronics smartphone huawei medium,239.9
3,1004115,electronics smartphone bq low,92.01
4,1004468,electronics smartphone doogee low,71.39
5,1004830,electronics smartphone gionee low,74.39
6,1004036,electronics smartphone nokia low,166.02
7,1004442,electronics smartphone xiaomi low,167.06
8,1003398,electronics smartphone zte low,89.84
9,1004589,electronics smartphone inoi low,77.19
