,product_id.1,meta_text,price
0,3601485,appliances kitchen washer lg medium,308.65
1,3601083,appliances kitchen washer candy medium,360.34
2,3601554,appliances kitchen washer atlant medium,230.38
3,3601339,appliances kitchen washer indesit medium,357.77
4,3601438,appliances kitchen washer beko medium,208.19
5,3601395,appliances kitchen washer hotpoint-ariston medium,365.49
6,3601422,appliances kitchen washer electrolux medium,386.03
7,3600025,appliances kitchen washer indesit low,202.76
8,3601490,appliances kitchen washer candy high,394.23
9,3601457,appliances kitchen washer midea medium,239.36
