,product_id.1,meta_text,price
0,1004903,electronics smartphone huawei low,111.82
1,1005086,electronics smartphone gionee low,123.3
2,1004198,electronics smartphone nokia low,101.65
3,1004111,electronics smartphone bq low,128.07
4,1004998,electronics smartphone doogee low,108.94
5,1004518,electronics smartphone xiaomi low,146.46
6,1003112,electronics smartphone sony low,141.99
7,1005013,electronics smartphone inoi low,73.32
8,1003592,electronics smartphone meizu low,151.57
9,1003250,electronics smartphone prestigio low,72.19
