,product_id.1,meta_text,price
0,1004836,electronics smartphone samsung medium,241.19
1,1004531,electronics smartphone samsung high,897.55
2,1005238,electronics smartphone oppo medium,308.86
3,1004419,electronics smartphone blackberry medium,694.74
4,1003769,electronics smartphone huawei medium,463.07
5,1002665,electronics smartphone honor medium,231.64
6,1004934,electronics smartphone vivo medium,231.64
7,1005246,electronics smartphone nokia medium,321.73
8,1002540,electronics smartphone apple medium,511.78
9,1003761,electronics smartphone sony medium,591.78
